category;subcategory;text;priority;tags;answer_pattern
Новые клиенты;Регистрация и онбординг;Как стать клиентом банка онлайн?;высокий;новые клиенты;Стать клиентом ВТБ (Беларусь) можно онлайн через сайт vtb.by или мобильное приложение VTB mBank. Для регистрации потребуется паспорт и номер телефона. После регистрации через МСИ (Межбанковскую систему идентификации) вы получите доступ к банковским услугам.
Новые клиенты;Регистрация и онбординг;Регистрация через МСИ (Межбанковская система идентификации);высокий;новые клиенты;МСИ позволяет пройти идентификацию онлайн, используя данные других банков, где вы уже являетесь клиентом. Это упрощает процедуру регистрации и делает её быстрой и безопасной.
Новые клиенты;Регистрация и онбординг;Документы для регистрации нового клиента;высокий;новые клиенты;Для регистрации в качестве нового клиента необходим паспорт гражданина Республики Беларусь и контактный номер мобильного телефона для получения SMS-подтверждений.
Новые клиенты;Первые шаги;Первый вход в Интернет-банк;высокий;новые клиенты;После регистрации вы получите логин и пароль для входа в систему Интернет-банк. При первом входе рекомендуется изменить временный пароль на постоянный и настроить дополнительные параметры безопасности.
Новые клиенты;Первые шаги;Как скачать и настроить мобильное приложение?;высокий;новые клиенты;Мобильное приложение VTB mBank можно скачать в App Store для iOS или Google Play для Android. После установки войдите с логином и паролем от Интернет-банка и пройдите первоначальную настройку.
Техническая поддержка;Проблемы и решения;Не могу войти в Интернет-банк;высокий;все клиенты;Если не получается войти в Интернет-банк, проверьте правильность ввода логина и пароля. При забытом пароле воспользуйтесь функцией восстановления. Если проблема не решается, обратитесь в контакт-центр по номеру 250 или +375 (17/29/33) 309 15 15.
Техническая поддержка;Проблемы и решения;Я нахожусь за пределами Республики Беларусь. Как я могу связаться с работниками банка, за исключением телефонного звонка?;высокий;все клиенты;Вы можете получить онлайн-консультацию (в текстовом формате) в будние дни с 9:00 до 17:30, написав специалисту банка в Telegram либо в чат на сайте (ссылки на сайте банка).
Техническая поддержка;Проблемы и решения;Забыл пароль от мобильного приложения;высокий;все клиенты;Если Вы забыли логин или пароль доступа, доступна процедура восстановления доступа к системе ДБО со стартового экрана. Для этого требуется нажать на кнопку «Забыли логин или пароль?».
Техническая поддержка;Проблемы и решения;Карта заблокирована - что делать?;высокий;все клиенты;Если карта заблокирована, обратитесь в контакт-центр банка по телефону 250 для выяснения причины блокировки. В большинстве случаев карту можно разблокировать по телефону после прохождения идентификации.
Техническая поддержка;Проблемы и решения;"Могу ли я оставить обращение, не обращаясь лично в офис банка?
";высокий;все клиенты;"Вы можете воспользоваться формой ""Обратная связь""(https://www.vtb.by/elektronnoe-pismo) на главной странице сайта банка ВТБ. Ваше обращение будет рассмотрено руководством банка в соответствии с Законом Республики Беларусь ""Об обращениях граждан и юридических лиц"" №300-З."
Техническая поддержка;Проблемы и решения;Перевел денежные средства на карту, но на балансе их нет.;высокий;все клиенты;В зависимости от условий Вашей карточки и способа совершения операции по карточке/ счету, погашение задолженности по договору и доступность денежных средств с использованием карточки будет обеспечена в следующее время: https://www.vtb.by/sites/default/files/sites/default/files/anketa/o_vremeni_zachisleniya_na_bpk_s_23.05.2021.pdf
Продукты - Карты;Дебетовые карты - MORE;Как оформить карту MORE?;высокий;новые клиенты;Карту MORE можно оформить в любом отделении банка ВТБ (Беларусь) с паспортом или онлайн через Интернет-банк и мобильное приложение VTB mBank. Карта выдается бесплатно.
Продукты - Карты;Дебетовые карты - MORE;Какие преимущества у карты MORE?;высокий;новые клиенты;Карта MORE предоставляет возможности для повседневной жизни: бесконтактные платежи, снятие наличных в банкоматах ВТБ без комиссии, онлайн-покупки, переводы через приложение.
Продукты - Карты;Дебетовые карты - MORE;Как бесплатно пополнить карточку MORE?;высокий;новые клиенты;Пополнить карточку MORE можно бесплатно через банкоматы ВТБ с функцией Cash-In, в отделениях банка, через Интернет-банк с других карт ВТБ, переводом с карты на карту.
Продукты - Карты;Дебетовые карты - MORE;Какие лимиты по карте MORE?;высокий;новые клиенты;Лимиты устанавливаются индивидуально при оформлении карты. Стандартные лимиты можно изменить через Интернет-банк или мобильное приложение VTB mBank в разделе 'Управление лимитами'.
Продукты - Карты;Дебетовые карты - MORE;Можно ли заказать карту MORE онлайн?;средний;новые клиенты;Да, карту MORE можно заказать онлайн через Интернет-банк или мобильное приложение VTB mBank. После оформления заявки карта будет готова к получению в выбранном отделении банка.
