category,subcategory,generated_label
Новые клиенты,Регистрация и онбординг,Регистрация нового клиента через МСИ паспорт номер телефона доступ к интернет-банку VTB mBank
Новые клиенты,Первые шаги,Первый вход в интернет-банк настройка пароля установка мобильного приложения iOS Android
Техническая поддержка,Проблемы и решения,Не могу войти забыл пароль карта заблокирована восстановление доступа контакт-центр 250 техподдержка
Продукты - Карты,Дебетовые карты - MORE,Бесплатная дебетовая карта MORE бесконтактная оплата снятие без комиссии в банкоматах ВТБ онлайн-заказ повседневное использование
Продукты - Карты,Дебетовые карты - Форсаж,Карта Форсаж мгновенный выпуск получение за несколько минут в отделении банка только паспорт активация сразу
Продукты - Карты,Дебетовые карты - Комплимент,Премиальная карта Комплимент для клиентов от 50 лет льготные условия Gold сегмент привилегии пенсионеры старший возраст
Продукты - Карты,Дебетовые карты - Signature,VIP-карта Signature премиальное обслуживание приоритетный сервис расширенные лимиты для требовательных клиентов
Продукты - Карты,Дебетовые карты - Infinite,Карта высшего уровня Infinite максимум привилегий консьерж-сервис страхование VIP-залы персональный менеджер
Продукты - Карты,Кредитные карты - PLAT/ON,Кредитная карта PLAT/ON переключаемые бонусные периоды до 10000 BYN виртуальная и физическая карта обязательный платеж до 20 числа
Продукты - Карты,Кредитные карты - Портмоне 2.0,Кредитная карта Портмоне 2.0 мгновенный выпуск без справок о доходах без поручителей только паспорт кредитный лимит
Продукты - Карты,Кредитные карты - Отличник,Кредитная карта Отличник для действующих кредитополучателей ВТБ без справки о доходах 0.01% на остаток до 5000 BYN до 36 месяцев
Продукты - Карты,Карты рассрочки - ЧЕРЕПАХА,Карта рассрочки ЧЕРЕПАХА до 5000 BYN возобновляемая линия на 3 года рассрочка до 12 месяцев в магазинах-партнерах cherepaha.vtb.by
Продукты - Карты,Карты рассрочки - КСТАТИ,Карта рассрочки КСТАТИ покупки в рассрочку широкая сеть партнеров удобное управление платежами онлайн-оформление
Продукты - Кредиты,Потребительские - На всё про всё,Потребительский кредит На всё про всё до 70000 BYN на любые цели срок до 7 лет возможно без справки о доходах досрочное погашение
Продукты - Кредиты,Потребительские - Дальше - меньше,Кредит Дальше меньше с ежегодно снижающейся процентной ставкой первый год стандартная ставка потом автоматическое снижение
Продукты - Кредиты,Потребительские - Легко платить,Кредит Легко платить первые 4 месяца льготный период сниженная ставка без погашения основного долга минимальные платежи вначале
Продукты - Кредиты,Потребительские - Всё только начинается,Кредит для клиентов старше 50 лет льготные условия для пенсионеров особые ставки упрощенные требования по документам
Продукты - Кредиты,Потребительские - Старт,Стартовый потребительский кредит для работающих граждан Беларуси индивидуальная сумма платежеспособность
Продукты - Кредиты,Онлайн кредиты - Проще в онлайн,Онлайн кредит Проще в онлайн через сайт vtb.by мобильное приложение без посещения банка быстрое одобрение загрузка документов дистанционно
Продукты - Кредиты,Автокредиты - Автокредит без залога,Автокредит без залога на новые и подержанные автомобили до 70000 BYN срок до 10 лет автосалоны-партнеры условия КАСКО
Продукты - Кредиты,Экспресс-кредиты - В магазинах-партнерах,Экспресс-кредит в магазинах-партнерах одобрение за несколько минут прямо в магазине паспорт справка о доходах покупка товаров
Продукты - Кредиты,Экспресс-кредиты - На роднае,Экспресс-кредит На роднае льготные условия для покупки товаров белорусского производства магазины-партнеры льготная ставка роднае
Продукты - Вклады,Рублевые - Мои условия,Вклад Мои условия рублевый отзывный и безотзывный возможность пополнения онлайн и в отделении актуальные ставки vtb.by досрочное закрытие
Продукты - Вклады,Рублевые - Мои условия онлайн,Онлайн вклад Мои условия онлайн повышенные ставки без посещения отделения открытие через интернет-банк VTB mBank управление через приложение
Продукты - Вклады,Рублевые - Великий путь,Безотзывный вклад Великий путь особые условия доходности специальные сроки размещения рублевый депозит фиксированная ставка
Продукты - Вклады,Рублевые - СуперСемь,Вклад СуперСемь на 7 дней автоматическая пролонгация краткосрочное размещение онлайн версия СуперСемь-онлайн быстрый оборот средств
Продукты - Вклады,Рублевые - Подушка безопасности,Условный вклад Подушка безопасности досрочное изъятие при жизненных обстоятельствах без потери процентов особые условия снятия
Продукты - Вклады,Валютные - USD,Долларовый вклад USD ставки по валютным депозитам минимальная сумма пополнение американские доллары валютный счет
Продукты - Вклады,Валютные - EUR,Вклад в евро EUR европейская валюта валютный депозит ставки и условия сроки размещения еврозона
Продукты - Вклады,Валютные - RUB,Вклад в российских рублях RUB валютный счет ставки тарифы vtb.by валютное законодательство ограничения
Продукты - Вклады,Валютные - CNY,Вклад в китайских юанях CNY валютный депозит азиатская валюта условия ставки сроки рыночная ситуация
Частные клиенты,Кредиты,Кредиты для частных клиентов ПДН платежеспособность закрытие договора самозанятые ремесленники справка о доходах погашение ЕРИП USSD
Частные клиенты,Банковские карточки,Платежные карточки текущий платеж кредитная карта пополнение ЕРИП Мир получение почтой активация 14 лет OZON Wildberries MORE Mir Pay блокировка утрата ПИН-код SMS-информирование
Частные клиенты,Вклады и депозиты,Вклады депозиты онлайн-вклад депозитный счет интернет-банк первоначальный взнос подоходный налог налоговый агент наличные нерезидент закрытие дата окончания возмещение капитализация
Частные клиенты,Онлайн-сервисы,Онлайн-сервисы логин пароль ДБО регистрация интернет-банк мобильный банк E-POS платежи оборудование программное обеспечение личный кабинет отчеты
